id_audio,especie_esperada,genero,especie_nombre,nombre_ingles,autor,pais,localidad,latitud,longitud,calidad,duracion_original,licencia,formato,url_descarga,tipo_vocalizacion,fecha_registro,duracion_real,sample_rate_real,canales_real
742378,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Joost van Bruggen,Colombia,"Victoria, Caldas",5.3191,,A,0:50,https://creativecommons.org/licenses/by-nc-nd/4.0/,,https://xeno-canto.org/742378/download,call,2022-07-03,50.410354166666664,48000.0,1.0
742377,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Joost van Bruggen,Colombia,"Victoria, Caldas",5.3191,,A,0:04,https://creativecommons.org/licenses/by-nc-nd/4.0/,,https://xeno-canto.org/742377/download,alarm call,2022-07-03,4.5565,48000.0,1.0
683965,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Mauricio Cuellar Ramirez (@Birding.travel),Colombia,"Pava Negra Nature Reserve - Florencia, Caquetá.",1.7135,,A,0:22,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/683965/download,"song, llamadas de agresión",2021-10-25,22.256326530612245,44100.0,2.0
614016,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Mauricio Cuellar Ramirez (@Birding.travel),Colombia,"Finca San Jorge, Morelia/Caquetá",1.4898,,A,0:44,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/614016/download,song,2021-01-07,44.904489795918366,44100.0,2.0
576274,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Jerome Fischer,Colombia,"Ukuku Rural Lodge,  Juntas, Ibague, Tolima, Colombia @ (4.5585,-75.3275)",4.5585,,A,1:02,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/576274/download,song,2020-07-15,62.28964583333333,48000.0,2.0
528032,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Jerome Fischer,Colombia,"Ukuku Rural Lodge,  Juntas, Ibague, Tolima, Colombia @ (4.5585,-75.3275)",4.5585,,A,0:02,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/528032/download,call,2020-02-15,2.9007709750566892,44100.0,2.0
462015,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,David Monroy Rengifo,Colombia,PRN Barbas -Bremen // Sendero Yarumal,4.7144,,A,0:19,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/462015/download,song,2019-03-15,19.04326530612245,44100.0,2.0
459232,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,David Monroy Rengifo,Colombia,Reserva Natural Cauquitá,4.843,,A,0:13,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/459232/download,call,2019-02-22,13.662040816326531,44100.0,2.0
416717,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Iván Lau,Colombia,"Medellin, Antioquia",6.2278,,A,1:12,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/416717/download,dawn song,2018-05-20,72.69587301587302,44100.0,1.0
237854,Turdus ignobilis,Turdus,ignobilis,Black-billed Thrush,Oscar Humberto Marin-Gomez,Colombia,"Parque Regional Barbas-Bremen, Filandia, Quindio. Sector Bremen-Buenos Aires",4.6683,,A,1:33,https://creativecommons.org/licenses/by-nc-sa/4.0/,,https://xeno-canto.org/237854/download,"call, song, agonistic calls",2009-04-06,93.56553287981859,44100.0,2.0
